kind,record_id,repo_id,status,usable,labeled_focal_method,labeled_focal_signature,top1_pred_name,top1_pred_signature,top1_score,top1_identifier_correct,top3_identifier_correct,top1_signature_correct,top3_signature_correct,top1_primary_correct,top3_primary_correct,ground_truth_rank_identifier,failure_mode,mapping_output_path,n_records,n_signature_records,top1_identifier_accuracy,top3_identifier_accuracy,top1_signature_accuracy,top3_signature_accuracy,top1_primary_accuracy,top3_primary_accuracy
record,c2t_4cf51b1aa1c3ca668124,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_17bb8e3a5f43ba68c2b2,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_fd0e7f789f400cfb48ae,40266095,error,True,getPerformanceMeasures,public PerformanceMeasures getPerformanceMeasures(double retrievedPercentage),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_47708f80a6ec179942fb,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_246759be50c63e6682d6,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d12ca90b194cdd465798,40266095,error,True,collectionProcessComplete,@Override public void collectionProcessComplete(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_fa30b4be79050d8efdc2,40266095,error,True,getAverageRPrecision,public double getAverageRPrecision(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c377fa08ad0262ede282,40266095,error,True,getMeanAveragePrecision,public Double getMeanAveragePrecision(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_9911db0c050241efb2b1,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_5c96e3d4257630634b6a,40266095,error,True,process,@Override public void process(final JCas aJCas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_42052f8da8b7e80aa0e3,40266095,error,True,process,@Override public void process(final JCas aJCas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f1f52f7fb6eff8441c93,40266095,error,True,process,@Override public void process(final JCas aJCas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d0e9499228580603e10e,40266095,error,True,process,@Override public void process(final JCas aJCas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_924f52c4bf862baf2bec,40266095,error,True,getPerformanceMeasures,public PerformanceMeasures getPerformanceMeasures(double retrievedPercentage),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_4e1c2b2f1cc3968b3156,40266095,error,True,process,@Override public void process(final JCas aJCas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_3fc290c92fbd330943ad,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_182e9eb5875543a9cfac,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_99f194ddf53837075bc2,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_eab9b59ce117273f882f,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_8a2de4a29ae14ecdeb6d,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e083a5e6af90eddd794d,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c9314886fea585cb268f,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_247317467eac2252d72b,40266095,error,True,PageRank,public  PageRank(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_58c53281abfa79bd48cf,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_baf84f674f807500d78e,40266095,error,True,getPerformanceMeasures,public PerformanceMeasures getPerformanceMeasures(double retrievedPercentage),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_2bf982354df854404f40,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d3728fc4855bde3844cc,40266095,error,True,process,@Override public void process(JCas jcas),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_3df7029e39e3df85c74b,40266095,error,True,getAveragedPerformanceMeasures,public AveragedPerformanceMeasures getAveragedPerformanceMeasures(int retrievedCount),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_369ce4b2e03e54691afc,40266095,error,True,getAveragedPerformanceMeasures,public AveragedPerformanceMeasures getAveragedPerformanceMeasures(int retrievedCount),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_923317edb28fd9da9197,40266095,error,True,buildKeyphraseCandidateModel,"public void buildKeyphraseCandidateModel(CandidateSet candidateSet,
			File outputFile)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_4ce9e9cb3c481be61851,40266095,error,True,extract,@Override public List<String> extract(File textFile),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_83850bca0010608486c5,40266095,error,True,getScore,protected double getScore(Keyphrase keyphrase),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e1c5944c889d69f48057,4159017,error,True,consume,"@Override public final boolean consume(CodeReader code, O output)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_5754acff479074856b83,4159017,error,True,consume,"@Override public final boolean consume(CodeReader code, O output)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_a8984902a45b76f19be2,4159017,error,True,charAt,@Override public final char charAt(int index),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_06aa942f9a28e24ddfeb,4159017,error,True,or,public abstract T or(T defaultValue),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_1502905f52ef71362369,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_cab8c12a77a688ff79bd,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_1336c9a8dec7494909bc,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_69bb5c3a464f048be8ed,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_bae2f9c79dfd9952e3cf,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_25dadc2cc853edc3d6cf,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_30f08a3869c5b1cb4de4,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_664a7762aa184e561c30,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_d35e703c8a0de5cc509c,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_5cb8853c46b1c04bd8f4,4159017,error,True,charAt,@Override public final char charAt(int index),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_0e7a3aa8efe90ba2be54,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_5f68c017214eb8b6a033,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c7ce1483f3ab6ca753f5,4159017,error,True,rootRule,public GrammarRuleKey rootRule(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_29288ae687a112e22dc0,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_02e1fc2854da3da2c6f7,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_29d103bd8e426bb36062,4159017,error,True,parse,public N parse(File file),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_ff68e58e5bff4d075ac5,4159017,error,True,Input,public  Input(char[] input),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c51b2688109734df44bf,4159017,error,True,uri,public URI uri(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_7482fd90844696887ebb,4159017,error,True,substring,"public String substring(int from, int to)",,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_3e40ca24e6ca8bf1cee3,4159017,error,True,lineAndColumnAt,public int[] lineAndColumnAt(int index),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b253912e54acacc2fd46,4159017,error,True,length,@Override public final int length(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_062d0fb68e45e252bec1,4159017,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_404961e74c6716c7d2c3,4159017,error,True,compile,@Override public Instruction[] compile(CompilationHandler compiler),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_89a20cdfe5d2f1c963a4,4159017,error,True,compile,@Override public Instruction[] compile(CompilationHandler compiler),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_82fe82a08ce276afe6a3,4159017,error,True,compile,@Override public Instruction[] compile(CompilationHandler compiler),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_680f399f0ddf36c22095,4159017,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_89a37650acc8ea46894b,4159017,error,True,hasToBeSkippedFromAst,@Override public boolean hasToBeSkippedFromAst(AstNode node),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f29c76cf2daf108b4d28,4159017,error,True,hasToBeSkippedFromAst,@Override public boolean hasToBeSkippedFromAst(AstNode node),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_4851f3e3c5c106263a8d,4159017,error,True,hasToBeSkippedFromAst,@Override public boolean hasToBeSkippedFromAst(AstNode node),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_c127a84baccbc4d1c787,4159017,error,True,NUMBER,public LiteralTree NUMBER(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_6a93eab1f88809399290,4159017,error,True,STRING,public LiteralTree STRING(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_774b9bfa5de3bde5d1b6,4159017,error,True,escape,public static String escape(char ch),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_2cfb49d560b1f8916774,4159017,error,True,VALUE,public ValueTree VALUE(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_265ac898b8a0b6c9b6b0,4159017,error,True,OBJECT,public ObjectTree OBJECT(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_b69b947887b94399073f,4159017,error,True,ARRAY,public ArrayTree ARRAY(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_a52e2f680f077e73db8b,4159017,error,True,JSON,public JsonTree JSON(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_085df80ebf4a3588723f,4159017,error,True,selectSingleNode,public T selectSingleNode(AstNode astNode),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_a594a751f6cab9b92ea8,4159017,error,True,selectNodes,public List<T> selectNodes(AstNode astNode),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_f1ef8bfdef5b5a814e96,4159017,error,True,isText,@Override public boolean isText(Object arg0),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_cbbbd834f321ad80c035,4159017,error,True,getDocumentNode,@Override public Object getDocumentNode(Object contextNode),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_e8ae67321da23d07b57a,4159017,error,True,getChildAxisIterator,@Override public Iterator getChildAxisIterator(Object contextNode),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_1ac8212b6e2dd5f89310,4159017,error,True,getChildAxisIterator,@Override public Iterator getChildAxisIterator(Object contextNode),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_80cbde574f617d990477,4159017,error,True,toString,@Override public String toString(),,,,False,False,,,False,False,,processing_error,,,,,,,,,
record,c2t_6ed7b90b4bcadb0208eb,4159017,error,True,getParentNode,@Override public Object getParentNode(Object contextNode),,,,False,False,,,False,False,,processing_error,,,,,,,,,
